refseq_name	AP_SK_MllAF9_BMTs_01_wtGMP_1	AP_SK_MllAF9_BMTs_02_wtGMP_2	AP_SK_MllAF9_BMTs_03_wtGMP_3	AP_SK_MllAF9_BMTs_04_wtGMP_4	AP_SK_MllAF9_BMTs_05_LTearly_1_M2grD2	AP_SK_MllAF9_BMTs_06_LTearly_2_M3grE2	AP_SK_MllAF9_BMTs_07_LTearly_3_M4grLT3	AP_SK_MllAF9_BMTs_08_LTearly_4_M2grLT5	AP_SK_MllAF9_BMTs_09_LTlate_1_M2grLT3	AP_SK_MllAF9_BMTs_10_LTlate_2_M6grLT3	AP_SK_MllAF9_BMTs_11_LTlate_3_M3grD2	AP_SK_MllAF9_BMTs_12_LTlate_4_M3grG2	AP_SK_MllAF9_BMTs_13_BMTGMP_1_M1grV	AP_SK_MllAF9_BMTs_14_BMTGMP_2_M2grV	AP_SK_MllAF9_BMTs_15_BMTGMP_3_M1grW	AP_SK_MllAF9_BMTs_16_BMTGMP_4_M1grX
XM_001473924	544.93333	213.71667	388.03333	281.76667	139.08333	212.13333	88.88333	401.28333	416.26667	853.13333	657.13333	849.6	646.78333	563.26667	462	169.03333
XM_001473926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001473951	392	151	348	218.5	348.5	310.5	231	853.5	652.5	1011.5	1060.5	1517	985.5	986.5	1037.5	307
XM_001473955	0	0	0	0	6.16667	0	3.74603	0	0	3.25	1.66667	3.57143	2.88889	0	0	0.28571
XM_001473957	36.75	9.58333	5.41667	14	19.08333	2.25	3.85	1	8.66667	22.66667	18.25	19.36667	35.75	5.5	19.08333	0.7
XM_001473986	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2
XM_001473993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474105	2069.01433	774.30617	1491.94025	1003.00335	631.07356	644.63407	536.24232	2076.15524	1424.27783	3186.49961	3050.06177	3993.99075	2979.74585	2455.48899	1985.86598	1085.77705
XM_001474123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474160	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
XM_001474178	14.5	7.5	0	4	0	0	7	0	0	0	16	5.5	0.5	0	26	6
XM_001474200	6	0	0	0	2	1	0	0	0	9	0	0	0	0	0	0
XM_001474202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474206	4.125	15.8629	1.5	1	45.11905	6.24	17	0	16.2	9.2	45.43018	25.6779	32.04444	7.3	24.5	6.6
XM_001474231	6.9	0.5	1	0.16667	16.75	23.41667	19.15	2.4	15.56667	10.58333	18	6.5	33.65	4.25	5.96667	10.56667
XM_001474251	2366	781.5	1749.5	1036.5	1686	749.5	640.5	1839	1610.5	4008.5	3545	4506.5	3432	3004.5	2304	1271
XM_001474271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474402	0	0	0	0	1.91429	0	0.85714	0	0	0	24.42857	0	19	0.18182	0	25.125
XM_001474423	4	0.875	5.5	0	4.54286	13.01071	10.375	4	8.15476	1	2.80952	0	33.09524	1	0	11.05942
XM_001474425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474438	4	0.875	8	2.92063	0.14286	15.67183	12.275	7	10.82143	9.43333	13.80952	2	31.79524	1	3.11111	14.70624
XM_001474440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474442	0	0	0	0	1.91429	0	0.85714	0	0	0	1.42857	0	0.25	0.18182	4.33333	1.125
XM_001474443	0	0	0	0	0	0	0	7.5	0	5.5	0	0	0	0	11.5	0
XM_001474477	217	58	251	101	43	91	72	190	137	338	258	304	188	116	134	96
XM_001474479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474493	190	41	204	90	25	44	68	174	130	282	230	243	139	82	93	74
XM_001474505	0	0	0	2.5	0	0	0	13.16667	0	0	0	4.66667	0	6	0.33333	0.5
XM_001474518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474528	0	0	0	0	0	0	1.5	0	0	5.5	0	0	0	0	0	0
XM_001474544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474564	0	0	0	0	47	66	39	23	3	0	0	13	8	0	0	0
XM_001474574	2	4	37	7	8	16	10	96	20	36	6	25	0	27	7	0
XM_001474645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474651	0	0	0	0	0	15	0	0	0	0	0	0	8	0	0	0
XM_001474661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474664	0	0	0	0	7	0	20	0	0	0	0	30	0	0	0	13
XM_001474690	1501.24423	615.9373	1372.4381	865.27807	622.69405	697.73337	521.69484	1822.92587	1256.88932	2312.39058	2499.60606	2934.50097	2455.6119	2171.27857	1697.59722	672.00159
